                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6224,                0.34848,                0.46398,                 4.3774,             0.00023738,             0.00023738,             0.00023738
                      2,                 3.0746,                0.35432,                0.49578,                 4.3749,             0.00047068,             0.00047068,             0.00047068
                      3,                 2.9012,                0.38287,                 0.5146,                  4.315,             0.00069926,             0.00069926,             0.00069926
                      4,                 2.7992,                0.37508,                0.51849,                 4.3169,             0.00069279,             0.00069279,             0.00069279
                      5,                 2.7096,                0.37249,                0.51006,                 4.3118,             0.00069279,             0.00069279,             0.00069279
                      6,                 2.6304,                0.38806,                0.52109,                 4.2832,             0.00068573,             0.00068573,             0.00068573
                      7,                 2.5573,                0.39714,                0.52888,                 4.2977,             0.00067866,             0.00067866,             0.00067866
                      8,                 2.4856,                0.38157,                0.52433,                 4.2931,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.4244,                0.38611,                0.51914,                 4.2832,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.3718,                0.38157,                0.52888,                 4.2717,             0.00065745,             0.00065745,             0.00065745
                     11,                 2.3449,                0.38287,                0.53861,                 4.2809,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.2769,                0.38871,                0.53537,                 4.2528,             0.00064331,             0.00064331,             0.00064331
                     13,                 2.2219,                0.38546,                 0.5159,                 4.2754,             0.00063625,             0.00063625,             0.00063625
                     14,                  2.167,                0.38027,                0.52174,                 4.2679,             0.00062918,             0.00062918,             0.00062918
                     15,                  2.119,                0.36729,                0.52174,                 4.2913,             0.00062211,             0.00062211,             0.00062211
                     16,                 2.0761,                0.38936,                0.52433,                 4.2838,             0.00061504,             0.00061504,             0.00061504
                     17,                  2.051,                0.37962,                0.52563,                 4.2589,             0.00060797,             0.00060797,             0.00060797
                     18,                 2.0055,                0.36794,                0.52498,                 4.2835,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.9521,                0.39001,                0.51914,                 4.2512,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.9217,                0.38092,                0.52044,                 4.2766,             0.00058677,             0.00058677,             0.00058677
