                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 1.8787,                0.36924,                0.52823,                  4.276,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.8292,                  0.366,                0.52433,                 4.2831,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.7804,                0.38546,                0.53926,                 4.2636,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.7731,                0.38741,                0.53537,                 4.2574,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.7333,                0.38027,                0.53147,                 4.2615,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.6703,                0.37638,                0.53082,                 4.2678,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.6564,                0.37703,                0.53407,                 4.2564,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.6531,                0.36859,                0.52758,                 4.2722,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.6225,                0.38092,                0.52953,                 4.2572,             0.00052315,             0.00052315,             0.00052315
                     30,                  1.547,                0.37638,                0.52239,                 4.2719,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.5436,                0.38546,                0.53212,                 4.2496,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.5254,                0.36794,                0.52433,                 4.2517,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.4914,                0.37119,                0.51979,                 4.2744,             0.00049487,             0.00049487,             0.00049487
                     34,                 1.4532,                0.38287,                0.51849,                 4.2531,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.4277,                0.36665,                0.51979,                 4.2632,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.3906,                0.37054,                0.52174,                 4.2658,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.3845,                 0.3621,                0.52044,                 4.2672,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.3538,                0.37508,                0.52563,                 4.2538,             0.00045953,             0.00045953,             0.00045953
                     39,                  1.346,                0.37833,                0.52239,                 4.2572,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.2792,                0.37703,                0.52239,                 4.2543,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.2819,                0.37378,                0.52433,                 4.2573,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.2909,                0.37897,                0.52498,                 4.2568,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.2598,                0.36665,                0.52498,                 4.2558,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.1938,                0.36794,                0.51914,                 4.2629,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.1989,                0.37768,                0.51979,                 4.2553,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.1752,                0.37378,                0.52628,                 4.2532,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.1462,                0.36729,                0.52109,                  4.258,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.1792,                0.36859,                0.51979,                 4.2554,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.1181,                0.37573,                0.52433,                 4.2564,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.1245,                0.36665,                0.52498,                 4.2671,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.1113,                0.36275,                0.52304,                 4.2608,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.0501,                0.36405,                0.52823,                   4.26,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.0556,                0.37184,                0.53342,                 4.2517,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.0352,                0.37508,                0.53082,                 4.2476,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.0478,                0.36859,                0.52239,                 4.2609,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.0184,                0.37378,                0.52304,                 4.2545,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.0102,                0.37833,                0.52433,                 4.2514,             0.00032523,             0.00032523,             0.00032523
